Y,X,Result,Assisted,Goalie,Player,Team,Year
1386,1236,GOAL,Unassisted,John Galloway,Stephen Kelly,Archers,2019
1373,838,OFF,Unassisted,Adam Ghitelman,John Ranagan,Chrome,2019
1449,931,OFF,Unassisted,John Galloway,Ben Mcintosh,Archers,2019
979,1351,OFF,Assisted,John Galloway,Will Manny,Archers,2019
1372,1398,OFF,Assisted,Adam Ghitelman,Max Tuttle,Chrome,2019
952,746,BLOCKED,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1039,925,MESSY SAVE,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
1408,1251,GOAL,Assisted,John Galloway,Marcus Holman,Archers,2019
1234,1262,BLOCKED,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
1458,1026,OFF,Unassisted,John Galloway,Scott Ratliff,Archers,2019
1075,1134,GOAL,Assisted,John Galloway,Ben Mcintosh,Archers,2019
1170,1267,GOAL,Assisted,John Galloway,Will Manny,Archers,2019
1491,905,BLOCKED,Unassisted,Adam Ghitelman,Connor Farrell,Chrome,2019
1047,1325,CLEAN SAVE,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1331,1274,OFF,Unassisted,John Galloway,Ben Mcintosh,Archers,2019
1257,1526,OFF,Assisted,John Galloway,Kevin Rice,Archers,2019
1508,1081,GOAL,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1343,1153,MESSY SAVE,Assisted,Adam Ghitelman,Will Haus,Chrome,2019
1450,1354,OFF,Unassisted,John Galloway,Tom Schreiber,Archers,2019
862,852,MESSY SAVE,Assisted,John Galloway,Marcus Holman,Archers,2019
1199,1110,OFF,Unassisted,Adam Ghitelman,Joel White,Chrome,2019
895,1208,OFF,Unassisted,John Galloway,Christian Cuccinello,Archers,2019
1432,737,GOAL,Unassisted,John Galloway,Marcus Holman,Archers,2019
1479,1141,GOAL,Unassisted,Adam Ghitelman,Will Haus,Chrome,2019
1436,1057,OFF,Unassisted,John Galloway,Tom Schreiber,Archers,2019
1379,599,CLEAN SAVE,Assisted,John Galloway,Christian Cuccinello,Archers,2019
1103,896,GOAL,Assisted,Adam Ghitelman,Mike O'Neil,Chrome,2019
1136,839,OFF,Assisted,John Galloway,Ben Mcintosh,Archers,2019
1024,625,MESSY SAVE,Unassisted,John Galloway,Ryan Ambler,Archers,2019
981,576,MESSY SAVE,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1258,1119,OFF,Assisted,John Galloway,Will Manny,Archers,2019
1121,1422,CLEAN SAVE,Unassisted,John Galloway,Kevin Rice,Archers,2019
1452,627,OFF,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1021,1085,GOAL,Assisted,John Galloway,Will Manny,Archers,2019
1441,865,MESSY SAVE,Unassisted,Adam Ghitelman,Connor Farrell,Chrome,2019
1478,670,GOAL,Assisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1310,810,PIPE,Unassisted,John Galloway,Dan Eipp,Archers,2019
1134,735,GOAL,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1361,1313,OFF,Unassisted,Adam Ghitelman,Max Tuttle,Chrome,2019
1597,765,OFF,Assisted,Adam Ghitelman,Romar Dennis,Chrome,2019
1040,1211,GOAL,Assisted,Adam Ghitelman,Ty Thompson,Chrome,2019
1443,770,GOAL,Unassisted,John Galloway,Ben Mcintosh,Archers,2019
1324,561,GOAL,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1250,990,MESSY SAVE,Assisted,John Galloway,Ben Mcintosh,Archers,2019
1637,977,GOAL,Assisted,John Galloway,Tom Schreiber,Archers,2019
1456,1185,OFF,Unassisted,Adam Ghitelman,Drew Simoneau,Chrome,2019
1165,830,GOAL,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1455,736,BLOCKED,Assisted,John Galloway,Will Manny,Archers,2019
994,864,GOAL,Assisted,John Galloway,Will Manny,Archers,2019
1144,773,GOAL,Unassisted,Adam Ghitelman,John Ranagan,Chrome,2019
1227,1209,CLEAN SAVE,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
1702,863,OFF,Assisted,Adam Ghitelman,Matt Danowski,Chrome,2019
1121,1202,GOAL,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1543,546,OFF,Unassisted,Adam Ghitelman,Romar Dennis,Chrome,2019
1529,855,CLEAN SAVE,Unassisted,John Galloway,Tom Schreiber,Archers,2019
998,888,GOAL,Assisted,Adam Ghitelman,Ty Thompson,Chrome,2019
1491,1069,BLOCKED,Unassisted,John Galloway,Stephen Kelly,Archers,2019
1324,1453,OFF,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1318,918,MESSY SAVE,Assisted,John Galloway,Will Manny,Archers,2019
1501,813,OFF,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1360,564,OFF,Assisted,Adam Ghitelman,John Ranagan,Chrome,2019
986,807,PIPE,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
907,805,GOAL,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1493,1162,OFF,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
912,796,MESSY SAVE,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
971,1258,OFF,Unassisted,John Galloway,Kevin Rice,Archers,2019
1021,1278,GOAL,Unassisted,John Galloway,Marcus Holman,Archers,2019
1575,1229,MESSY SAVE,Assisted,Adam Ghitelman,Matt Danowski,Chrome,2019
918,809,MESSY SAVE,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1492,780,MESSY SAVE,Unassisted,John Galloway,Dan Eipp,Archers,2019
1578,831,MESSY SAVE,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1150,808,CLEAN SAVE,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1516,1190,GOAL,Assisted,John Galloway,Ben Mcintosh,Archers,2019
976,820,OFF,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
1095,1073,MESSY SAVE,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1321,1081,PIPE,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1541,898,OFF,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1132,676,GOAL,Assisted,John Galloway,Will Manny,Archers,2019
1120,726,MESSY SAVE,Assisted,Blaze Riorden,Ben Reeves,Whipsnakes,2019
1059,1102,GOAL,Unassisted,Blaze Riorden,Jules Heningburg,Whipsnakes,2019
1418,917,OFF,Unassisted,Kyle Bernlohr,Myles Jones,Chaos,2019
1026,1137,CLEAN SAVE,Assisted,Kyle Bernlohr,Jake Froccaro,Chaos,2019
1218,798,GOAL,Unassisted,Blaze Riorden,Matt Rambo,Whipsnakes,2019
1118,1007,OFF,Assisted,Kyle Bernlohr,Kevin Buchanan,Chaos,2019
1382,1077,OFF,Unassisted,Blaze Riorden,Michael Ehrhardt,Whipsnakes,2019
1442,1335,CLEAN SAVE,Assisted,Blaze Riorden,Drew Snider,Whipsnakes,2019
1379,879,CLEAN SAVE,Unassisted,Kyle Bernlohr,Connor Fields,Chaos,2019
1441,648,GOAL,Assisted,Blaze Riorden,Mike Chanenchuk,Whipsnakes,2019
985,868,GOAL,Assisted,Blaze Riorden,Ben Reeves,Whipsnakes,2019
1503,573,BLOCKED,Assisted,Kyle Bernlohr,Myles Jones,Chaos,2019
897,838,CLEAN SAVE,Assisted,Blaze Riorden,Matt Rambo,Whipsnakes,2019
1699,941,GOAL,Assisted,Kyle Bernlohr,Jake Froccaro,Chaos,2019
1098,799,GOAL,Unassisted,Blaze Riorden,Ben Reeves,Whipsnakes,2019
1059,789,PIPE,Unassisted,Blaze Riorden,Matt Rambo,Whipsnakes,2019
1433,1280,GOAL,Unassisted,Kyle Bernlohr,Eric Scott,Chaos,2019
1537,728,OFF,Unassisted,Kyle Bernlohr,Kevin Buchanan,Chaos,2019
985,856,MESSY SAVE,Unassisted,Kyle Bernlohr,Miles Thompson,Chaos,2019
1363,635,GOAL,Unassisted,Blaze Riorden,Drew Snider,Whipsnakes,2019
1575,1457,OFF,Assisted,Kyle Bernlohr,Matt Rees,Chaos,2019
1460,1371,CLEAN SAVE,Assisted,Kyle Bernlohr,Myles Jones,Chaos,2019
1510,998,CLEAN SAVE,Unassisted,Kyle Bernlohr,Connor Fields,Chaos,2019
1060,517,OFF,Unassisted,Blaze Riorden,Matt Rambo,Whipsnakes,2019
1058,805,MESSY SAVE,Assisted,Blaze Riorden,Jules Heningburg,Whipsnakes,2019
1064,1419,CLEAN SAVE,Unassisted,Blaze Riorden,Matt Rambo,Whipsnakes,2019
1418,996,GOAL,Unassisted,Kyle Bernlohr,Josh Byrne,Chaos,2019
1439,607,OFF,Unassisted,Blaze Riorden,Jake Bernhardt,Whipsnakes,2019
1474,998,OFF,Unassisted,Blaze Riorden,Joe Locascio,Whipsnakes,2019
1339,1286,GOAL,Unassisted,Blaze Riorden,Ryan Drenner,Whipsnakes,2019
1419,1361,OFF,Unassisted,Blaze Riorden,Mike Chanenchuk,Whipsnakes,2019
1641,1160,CLEAN SAVE,Unassisted,Blaze Riorden,Drew Snider,Whipsnakes,2019
1127,1402,OFF,Assisted,Kyle Bernlohr,Miles Thompson,Chaos,2019
1636,1135,OFF,Assisted,Blaze Riorden,Mike Chanenchuk,Whipsnakes,2019
1499,1147,GOAL,Unassisted,Blaze Riorden,Connor Kelly,Whipsnakes,2019
1221,515,PIPE,Unassisted,Blaze Riorden,Jake Bernhardt,Whipsnakes,2019
1782,1288,CLEAN SAVE,Assisted,Blaze Riorden,Michael Ehrhardt,Whipsnakes,2019
1061,797,MESSY SAVE,Assisted,Kyle Bernlohr,Mark Glicini,Chaos,2019
1407,631,CLEAN SAVE,Unassisted,Blaze Riorden,Connor Kelly,Whipsnakes,2019
1018,1099,GOAL,Assisted,Blaze Riorden,Jules Heningburg,Whipsnakes,2019
1122,1040,GOAL,Assisted,Kyle Bernlohr,Troy Reh,Chaos,2019
1136,1078,OFF,Unassisted,Blaze Riorden,Joe Nardella,Whipsnakes,2019
1353,864,BLOCKED,Unassisted,Blaze Riorden,Mike Chanenchuk,Whipsnakes,2019
1571,1244,BLOCKED,Assisted,Blaze Riorden,Joe Locascio,Whipsnakes,2019
1408,610,OFF,Unassisted,Blaze Riorden,Mike Chanenchuk,Whipsnakes,2019
1115,1140,GOAL,Assisted,Blaze Riorden,Ryan Drenner,Whipsnakes,2019
1315,1289,CLEAN SAVE,Assisted,Kyle Bernlohr,Jake Froccaro,Chaos,2019
1098,1120,GOAL,Unassisted,Kyle Bernlohr,Tommy Kelly,Chaos,2019
1531,1301,OFF,Unassisted,Blaze Riorden,Joe Locascio,Whipsnakes,2019
1498,1224,OFF,Assisted,Blaze Riorden,Connor Kelly,Whipsnakes,2019
1304,717,PIPE,Unassisted,Blaze Riorden,Matt Rambo,Whipsnakes,2019
1446,571,MESSY SAVE,Unassisted,Blaze Riorden,Mike Chanenchuk,Whipsnakes,2019
1769,1033,MESSY SAVE,Unassisted,Kyle Bernlohr,Troy Reh,Chaos,2019
1371,1442,PIPE,Unassisted,Blaze Riorden,Joe Locascio,Whipsnakes,2019
897,1188,MESSY SAVE,Unassisted,Blaze Riorden,Jules Heningburg,Whipsnakes,2019
1131,1234,GOAL,Unassisted,Kyle Bernlohr,Deemer Class,Chaos,2019
1102,1081,GOAL,Assisted,Blaze Riorden,Matt Rambo,Whipsnakes,2019
1109,614,OFF,Unassisted,Kyle Bernlohr,Myles Jones,Chaos,2019
918,1156,GOAL,Assisted,Kyle Bernlohr,Josh Byrne,Chaos,2019
1044,1031,GOAL,Unassisted,Kyle Bernlohr,Connor Fields,Chaos,2019
1379,668,GOAL,Unassisted,Kyle Bernlohr,Myles Jones,Chaos,2019
1457,814,OFF,Unassisted,Blaze Riorden,Mike Chanenchuk,Whipsnakes,2019
1395,605,OFF,Unassisted,Kyle Bernlohr,Deemer Class,Chaos,2019
1430,635,OFF,Unassisted,Kyle Bernlohr,Connor Fields,Chaos,2019
1326,582,PIPE,Unassisted,Blaze Riorden,Ben Reeves,Whipsnakes,2019
1224,683,OFF,Unassisted,Blaze Riorden,Ryan Drenner,Whipsnakes,2019
1546,1471,CLEAN SAVE,Unassisted,Kyle Bernlohr,Jeremy Thompson,Chaos,2019
997,874,GOAL,Unassisted,Kyle Bernlohr,Connor Fields,Chaos,2019
1360,595,OFF,Unassisted,Blaze Riorden,John Haus,Whipsnakes,2019
1020,893,MESSY SAVE,Assisted,Kyle Bernlohr,Connor Fields,Chaos,2019
1335,1362,MESSY SAVE,Unassisted,Blaze Riorden,Jake Bernhardt,Whipsnakes,2019
1061,1135,GOAL,Unassisted,Blaze Riorden,Isaac Paparo,Whipsnakes,2019
1446,623,BLOCKED,Assisted,Blaze Riorden,Mike Chanenchuk,Whipsnakes,2019
1333,1310,OFF,Assisted,Kyle Bernlohr,Mark Glicini,Chaos,2019
1276,1320,GOAL,Unassisted,Kyle Bernlohr,Josh Byrne,Chaos,2019
1461,1287,GOAL,Unassisted,Blaze Riorden,Jake Bernhardt,Whipsnakes,2019
1304,488,BLOCKED,Unassisted,Blaze Riorden,Mike Chanenchuk,Whipsnakes,2019
1262,723,OFF,Unassisted,Kyle Bernlohr,Kevin Buchanan,Chaos,2019
1040,721,MESSY SAVE,Unassisted,Kyle Bernlohr,Eric Scott,Chaos,2019
1060,1182,GOAL,Unassisted,Kyle Bernlohr,Myles Jones,Chaos,2019
1034,820,GOAL,Assisted,Kyle Bernlohr,Josh Byrne,Chaos,2019
1336,904,MESSY SAVE,Unassisted,Blaze Riorden,Joe Nardella,Whipsnakes,2019
1447,982,OFF,Assisted,Blaze Riorden,Matt Rambo,Whipsnakes,2019
1029,870,GOAL,Assisted,Blaze Riorden,Ben Reeves,Whipsnakes,2019
1501,880,PIPE,Assisted,Blaze Riorden,Ben Reeves,Whipsnakes,2019
1090,725,OFF,Unassisted,Blaze Riorden,Matt Rambo,Whipsnakes,2019
1655,1288,MESSY SAVE,Assisted,Kyle Bernlohr,Deemer Class,Chaos,2019
1370,1174,OFF,Unassisted,Blaze Riorden,Joe Nardella,Whipsnakes,2019
939,795,OFF,Unassisted,Blaze Riorden,Jules Heningburg,Whipsnakes,2019
1433,1100,GOAL,Assisted,Blaze Riorden,Drew Snider,Whipsnakes,2019
1417,1272,OFF,Unassisted,Tim Troutner,Ryan Conrad,Atlas,2019
1033,640,OFF,Unassisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1312,1479,OFF,Unassisted,Tim Troutner,Paul Rabil,Atlas,2019
1464,782,OFF,Assisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1039,815,OFF,Unassisted,Jack Concannon,Joey Sankey,Redwoods,2019
953,800,MESSY SAVE,Unassisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1677,713,OFF,Unassisted,Tim Troutner,Kyle Hartzell,Atlas,2019
1354,629,MESSY SAVE,Assisted,Jack Concannon,Brian Karalunas,Redwoods,2019
1015,908,GOAL,Assisted,Tim Troutner,Eric Law,Atlas,2019
1490,725,BLOCKED,Unassisted,Tim Troutner,Trevor Baptiste,Atlas,2019
1230,631,CLEAN SAVE,Unassisted,Jack Concannon,Sergio Salcido,Redwoods,2019
1494,763,OFF,Unassisted,Tim Troutner,Connor Buczek,Atlas,2019
1145,535,CLEAN SAVE,Assisted,Jack Concannon,Joey Sankey,Redwoods,2019
1129,957,CLEAN SAVE,Assisted,Tim Troutner,Kieran McArdle,Atlas,2019
1357,1348,GOAL,Assisted,Tim Troutner,Ryan Brown,Atlas,2019
1118,1252,GOAL,Assisted,Jack Concannon,Clarke Petterson,Redwoods,2019
1236,881,GOAL,Assisted,Jack Concannon,Joe Walters,Redwoods,2019
1182,1141,GOAL,Assisted,Jack Concannon,Clarke Petterson,Redwoods,2019
1403,1404,GOAL,Unassisted,Jack Concannon,Sergio Salcido,Redwoods,2019
1589,853,OFF,Assisted,Tim Troutner,Andrew Hodgson,Atlas,2019
1309,571,MESSY SAVE,Unassisted,Tim Troutner,Connor Buczek,Atlas,2019
1220,552,OFF,Unassisted,Jack Concannon,Joe Walters,Redwoods,2019
1222,1518,OFF,Unassisted,Jack Concannon,Kyle Harrison,Redwoods,2019
1393,997,MESSY SAVE,Unassisted,Tim Troutner,Connor Buczek,Atlas,2019
1370,751,OFF,Unassisted,Tim Troutner,Pat Young,Atlas,2019
1264,1154,MESSY SAVE,Assisted,Jack Concannon,Eddy Glazener,Redwoods,2019
1008,900,GOAL,Assisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1459,1339,MESSY SAVE,Assisted,Tim Troutner,Andrew Hodgson,Atlas,2019
1364,1281,MESSY SAVE,Unassisted,Jack Concannon,Kyle Harrison,Redwoods,2019
1295,1503,CLEAN SAVE,Unassisted,Jack Concannon,Kyle Harrison,Redwoods,2019
1014,783,MESSY SAVE,Unassisted,Tim Troutner,Joel Tinney,Atlas,2019
1379,1161,OFF,Assisted,Jack Concannon,Clarke Petterson,Redwoods,2019
958,1148,CLEAN SAVE,Assisted,Jack Concannon,Clarke Petterson,Redwoods,2019
1022,921,MESSY SAVE,Assisted,Tim Troutner,Eric Law,Atlas,2019
1632,892,MESSY SAVE,Unassisted,Jack Concannon,Brent Adams,Redwoods,2019
1246,1492,MESSY SAVE,Assisted,Jack Concannon,Kyle Harrison,Redwoods,2019
1320,605,MESSY SAVE,Assisted,Tim Troutner,Chris Cloutier,Atlas,2019
1380,1603,CLEAN SAVE,Assisted,Tim Troutner,Ryan Brown,Atlas,2019
1097,939,GOAL,Assisted,Tim Troutner,Chris Cloutier,Atlas,2019
1294,1283,GOAL,Unassisted,Tim Troutner,Paul Rabil,Atlas,2019
908,776,MESSY SAVE,Unassisted,Jack Concannon,Joey Sankey,Redwoods,2019
1373,791,OFF,Assisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1415,780,CLEAN SAVE,Unassisted,Jack Concannon,Joey Sankey,Redwoods,2019
1132,747,OFF,Assisted,Jack Concannon,Joey Sankey,Redwoods,2019
906,1243,OFF,Unassisted,Jack Concannon,Sergio Salcido,Redwoods,2019
1387,714,OFF,Assisted,Jack Concannon,Sergio Salcido,Redwoods,2019
987,882,GOAL,Assisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1434,1109,OFF,Unassisted,Jack Concannon,Greg Gurenlian,Redwoods,2019
1049,994,GOAL,Assisted,Tim Troutner,Eric Law,Atlas,2019
1197,458,MESSY SAVE,Assisted,Jack Concannon,Joe Walters,Redwoods,2019
1408,1042,OFF,Unassisted,Jack Concannon,Patrick Harbeson,Redwoods,2019
1094,1394,OFF,Unassisted,Tim Troutner,Ryan Brown,Atlas,2019
999,1263,MESSY SAVE,Assisted,Jack Concannon,Clarke Petterson,Redwoods,2019
1139,514,BLOCKED,Unassisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1348,534,CLEAN SAVE,Unassisted,Tim Troutner,Ryan Brown,Atlas,2019
947,860,MESSY SAVE,Assisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1155,1192,MESSY SAVE,Assisted,Tim Troutner,Mike Simon,Atlas,2019
1103,834,OFF,Unassisted,Tim Troutner,Paul Rabil,Atlas,2019
1129,1122,GOAL,Assisted,Tim Troutner,Andrew Hodgson,Atlas,2019
1410,1129,OFF,Unassisted,Tim Troutner,Trevor Baptiste,Atlas,2019
943,768,GOAL,Unassisted,Tim Troutner,Joel Tinney,Atlas,2019
1273,1346,OFF,Unassisted,Jack Concannon,Brent Adams,Redwoods,2019
1150,821,MESSY SAVE,Unassisted,Jack Concannon,Kylor Bellistri,Redwoods,2019
1657,690,OFF,Unassisted,Tim Troutner,Kyle Hartzell,Atlas,2019
1477,1004,BLOCKED,Assisted,Tim Troutner,Ryan Brown,Atlas,2019
1147,1512,MESSY SAVE,Unassisted,Tim Troutner,Kieran McArdle,Atlas,2019
1294,1046,GOAL,Unassisted,Jack Concannon,Joe Walters,Redwoods,2019
1133,804,CLEAN SAVE,Unassisted,Tim Troutner,Austin Pifani,Atlas,2019
942,1209,MESSY SAVE,Assisted,Jack Concannon,Kylor Bellistri,Redwoods,2019
1165,666,CLEAN SAVE,Unassisted,Tim Troutner,Joel Tinney,Atlas,2019
1441,656,GOAL,Unassisted,Jack Concannon,Brent Adams,Redwoods,2019
981,606,OFF,Assisted,Tim Troutner,Kieran McArdle,Atlas,2019
1218,1094,GOAL,Assisted,Tim Troutner,Ryan Brown,Atlas,2019
1474,1197,MESSY SAVE,Unassisted,Jack Concannon,Brent Adams,Redwoods,2019
1484,1305,GOAL,Unassisted,Jack Concannon,Sergio Salcido,Redwoods,2019
1384,1239,OFF,Unassisted,Tim Troutner,Trevor Baptiste,Atlas,2019
1158,483,CLEAN SAVE,Unassisted,Tim Troutner,Paul Rabil,Atlas,2019
1415,724,OFF,Unassisted,Jack Concannon,Sergio Perkovic,Redwoods,2019
1258,530,OFF,Assisted,Tim Troutner,Kieran McArdle,Atlas,2019
876,1171,MESSY SAVE,Unassisted,Tim Troutner,Eric Law,Atlas,2019
1193,597,CLEAN SAVE,Unassisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1362,1430,MESSY SAVE,Assisted,Tim Troutner,Mike Simon,Atlas,2019
1163,1485,OFF,Unassisted,Jack Concannon,Sergio Salcido,Redwoods,2019
1381,1421,CLEAN SAVE,Unassisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1285,931,OFF,Unassisted,Jack Concannon,Joey Sankey,Redwoods,2019
1372,677,GOAL,Unassisted,Jack Concannon,Sergio Perkovic,Redwoods,2019
1093,547,OFF,Unassisted,Jack Concannon,Joey Sankey,Redwoods,2019
1460,747,BLOCKED,Unassisted,Jack Concannon,Kyle Harrison,Redwoods,2019
1024,1175,GOAL,Assisted,Jack Concannon,Joey Sankey,Redwoods,2019
1539,881,CLEAN SAVE,Unassisted,Jack Concannon,Sergio Perkovic,Redwoods,2019
1263,1546,OFF,Assisted,Jack Concannon,Sergio Salcido,Redwoods,2019
1288,499,CLEAN SAVE,Assisted,Tim Troutner,Kieran McArdle,Atlas,2019
1633,1302,OFF,Assisted,Jack Concannon,Sergio Perkovic,Redwoods,2019
1148,1253,MESSY SAVE,Unassisted,Jack Concannon,Matt Kavanagh,Redwoods,2019
1662,1003,MESSY SAVE,Assisted,Tim Troutner,Connor Buczek,Atlas,2019
1471,585,MESSY SAVE,Assisted,Tim Troutner,Ryan Brown,Atlas,2019
1045,1069,GOAL,Assisted,Tim Troutner,Chris Cloutier,Atlas,2019
934,840,CLEAN SAVE,Unassisted,John Galloway,Jules Heningburg,Whipsnakes,2019
1500,1192,MESSY SAVE,Unassisted,Kyle Bernlohr,Ned Crotty,Chrome,2019
1371,1115,MESSY SAVE,Unassisted,Kyle Bernlohr,John Ranagan,Chrome,2019
1799,799,OFF,Assisted,Kyle Bernlohr,Romar Dennis,Chrome,2019
1680,1223,OFF,Unassisted,Kyle Bernlohr,Romar Dennis,Chrome,2019
1398,1430,MESSY SAVE,Unassisted,John Galloway,Joe Locascio,Whipsnakes,2019
1208,724,OFF,Unassisted,John Galloway,Matt Rambo,Whipsnakes,2019
1057,724,MESSY SAVE,Unassisted,John Galloway,Ben Reeves,Whipsnakes,2019
1430,692,GOAL,Assisted,John Galloway,Mike Chanenchuk,Whipsnakes,2019
1136,1136,CLEAN SAVE,Assisted,Kyle Bernlohr,Wes Berg,Chrome,2019
1187,1330,GOAL,Unassisted,John Galloway,John Haus,Whipsnakes,2019
951,839,BLOCKED,Unassisted,Kyle Bernlohr,Jordan Wolf,Chrome,2019
1237,534,GOAL,Assisted,John Galloway,Michael Ehrhardt,Whipsnakes,2019
1305,516,MESSY SAVE,Assisted,John Galloway,Drew Snider,Whipsnakes,2019
1043,878,MESSY SAVE,Assisted,Kyle Bernlohr,Ty Thompson,Chrome,2019
997,1138,OFF,Unassisted,Kyle Bernlohr,Jordan Wolf,Chrome,2019
1515,880,MESSY SAVE,Assisted,Kyle Bernlohr,Max Tuttle,Chrome,2019
1535,701,OFF,Unassisted,John Galloway,Mike Chanenchuk,Whipsnakes,2019
1123,774,MESSY SAVE,Assisted,John Galloway,Drew Snider,Whipsnakes,2019
1274,993,MESSY SAVE,Assisted,Kyle Bernlohr,Wes Berg,Chrome,2019
1466,999,GOAL,Unassisted,Kyle Bernlohr,John Ranagan,Chrome,2019
1301,1494,CLEAN SAVE,Unassisted,Kyle Bernlohr,Ned Crotty,Chrome,2019
1457,754,MESSY SAVE,Unassisted,John Galloway,Jake Bernhardt,Whipsnakes,2019
1595,741,CLEAN SAVE,Assisted,Kyle Bernlohr,Will Haus,Chrome,2019
1020,1114,MESSY SAVE,Assisted,John Galloway,Ryan Drenner,Whipsnakes,2019
1513,1123,GOAL,Assisted,John Galloway,Mike Chanenchuk,Whipsnakes,2019
1264,1122,GOAL,Unassisted,Kyle Bernlohr,Max Tuttle,Chrome,2019
1508,739,OFF,Unassisted,Kyle Bernlohr,Romar Dennis,Chrome,2019
793,875,MESSY SAVE,Unassisted,Kyle Bernlohr,Jordan MacIntosh,Chrome,2019
1120,725,OFF,Assisted,John Galloway,Ryan Drenner,Whipsnakes,2019
1240,486,OFF,Unassisted,John Galloway,Mike Chanenchuk,Whipsnakes,2019
911,1172,OFF,Unassisted,Kyle Bernlohr,Ned Crotty,Chrome,2019
1290,726,OFF,Unassisted,Kyle Bernlohr,Justin Guterding,Chrome,2019
1348,1135,OFF,Unassisted,Kyle Bernlohr,Joel White,Chrome,2019
1306,986,MESSY SAVE,Assisted,Kyle Bernlohr,Max Tuttle,Chrome,2019
1279,1440,OFF,Assisted,Kyle Bernlohr,Max Tuttle,Chrome,2019
951,1155,GOAL,Assisted,Kyle Bernlohr,Jordan Wolf,Chrome,2019
1505,730,MESSY SAVE,Assisted,Kyle Bernlohr,Joel White,Chrome,2019
1701,704,CLEAN SAVE,Assisted,John Galloway,Jake Bernhardt,Whipsnakes,2019
1224,790,GOAL,Assisted,Kyle Bernlohr,Justin Guterding,Chrome,2019
1527,621,BLOCKED,Assisted,John Galloway,Joe Locascio,Whipsnakes,2019
1242,720,OFF,Unassisted,John Galloway,Matt Rambo,Whipsnakes,2019
1096,741,MESSY SAVE,Unassisted,John Galloway,Ryan Drenner,Whipsnakes,2019
1528,1180,BLOCKED,Unassisted,John Galloway,Joe Locascio,Whipsnakes,2019
1546,1287,OFF,Unassisted,John Galloway,Matt Rambo,Whipsnakes,2019
1076,748,MESSY SAVE,Assisted,John Galloway,Drew Snider,Whipsnakes,2019
1489,999,BLOCKED,Assisted,John Galloway,Ryan Drenner,Whipsnakes,2019
1448,1368,GOAL,Assisted,John Galloway,Jake Bernhardt,Whipsnakes,2019
1520,1329,OFF,Assisted,John Galloway,Joe Locascio,Whipsnakes,2019
1350,938,OFF,Assisted,John Galloway,Drew Snider,Whipsnakes,2019
1415,1299,CLEAN SAVE,Unassisted,John Galloway,Drew Snider,Whipsnakes,2019
1838,564,GOAL,Assisted,Kyle Bernlohr,John Ranagan,Chrome,2019
1540,1180,OFF,Unassisted,Kyle Bernlohr,Matt Danowski,Chrome,2019
1105,1263,MESSY SAVE,Unassisted,Kyle Bernlohr,Jordan Wolf,Chrome,2019
1059,1231,GOAL,Unassisted,Kyle Bernlohr,Justin Guterding,Chrome,2019
1364,1287,GOAL,Assisted,Kyle Bernlohr,Max Tuttle,Chrome,2019
1067,1200,OFF,Unassisted,Kyle Bernlohr,Jordan Wolf,Chrome,2019
1059,724,MESSY SAVE,Unassisted,Kyle Bernlohr,Justin Guterding,Chrome,2019
1174,833,GOAL,Unassisted,John Galloway,Matt Rambo,Whipsnakes,2019
