"","player_name","drafted","GP","min_total","adjoe","ht_rev","Min_per"
"685","ALEX HERZING","No",6,3.6,157.733,84,0.6
"686","ALEX HICKS","No",94,5412.6,105.913309278351,80,57.5808510638298
"687","ALEX HILL","No",11,30.8,104.848,76,2.8
"688","ALEX HOBBS","No",116,6572.1,101.309788478569,76,56.6560344827586
"689","ALEX HOLCOMBE","No",39,330,82.9814541818182,80.5,8.46153846153846
"690","ALEX HOLT","No",21,667.8,92.2283,80,31.8
"691","ALEX HORNAT","No",4,0.6,-6.37898666666667,77,0.15
"692","ALEX HUIBREGSTE","No",24,871.2,85.5265,75,36.3
"693","ALEX HUNTER","No",112,7719.6,107.172938740349,71,68.925
"694","ALEX ILLIKAINEN","No",85,1481.3,97.3301036724499,81,17.4270588235294
"695","ALEX IMEGWU","No",13,11.4,46.5625318421053,78,0.876923076923077
"696","ALEX IONESCO","No",9,5.5,100.597718181818,74,0.611111111111111
"697","ALEX JACKSON","No",24,376.8,69.7377,77,15.7
"698","ALEX JACOBSON","No",68,573.1,82.4459487698482,84,8.42794117647059
"699","ALEX JOHNSON","No",93,6012.2,97.455534918998,70,64.647311827957
"700","ALEX JONES","No",113,3513.6,100.176164233265,73.6,31.0938053097345
"701","ALEX KELLOGG","No",19,102.6,57.9012,79,5.4
"702","ALEX KILMARTIN","No",1,0.1,-7.90635,79,0.1
